id;name;image;image_content_type;status;created_at
1;mobile Fish;../fake-data/blob/hipster.png;image/png;RESERVED;2019-10-22T02:22:04
2;FTP Savings Account;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-22T03:44:35
3;Officer;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-21T17:23:42
4;intangible;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-21T22:10:31
5;Licensed Savings Account;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-22T02:38:49
6;Credit Card Account Table Small Frozen Sausages;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-21T22:13:13
7;Monitored Bahamian Dollar Investment Account;../fake-data/blob/hipster.png;image/png;AVAILABLE;2019-10-21T11:51:41
8;hardware Costa Rica Mayotte;../fake-data/blob/hipster.png;image/png;RESERVED;2019-10-21T07:32:49
9;Views e-enable Communications;../fake-data/blob/hipster.png;image/png;RESERVED;2019-10-22T02:40:34
10;software scale interactive;../fake-data/blob/hipster.png;image/png;UNAVAILABLE;2019-10-21T21:08:16
