id;rate_value;comment;comment_content_type
1;97178;../fake-data/blob/hipster.png;image/png
2;25391;../fake-data/blob/hipster.png;image/png
3;96244;../fake-data/blob/hipster.png;image/png
4;24687;../fake-data/blob/hipster.png;image/png
5;25178;../fake-data/blob/hipster.png;image/png
6;69630;../fake-data/blob/hipster.png;image/png
7;49724;../fake-data/blob/hipster.png;image/png
8;71227;../fake-data/blob/hipster.png;image/png
9;30087;../fake-data/blob/hipster.png;image/png
10;14808;../fake-data/blob/hipster.png;image/png
